date,open,high,low,close,volume
2017/02/10,159.0872,159.9494,158.656,159.9494,"49,257"
2017/02/13,160.8117,162.1051,160.8117,161.6739,"26,155"
2017/02/14,162.9673,163.8296,161.6739,161.6739,"46,716"
2017/02/15,161.2428,163.3985,160.8117,162.9673,"39,928"
2017/02/16,163.8296,164.2607,162.1051,162.9673,"28,371"
2017/02/17,163.8296,164.2607,162.9673,163.3985,"20,407"
2017/02/18,163.8296,164.2607,163.3985,163.3985,"3,517"
2017/02/20,163.8296,164.2607,163.3985,163.8296,"13,280"
2017/02/21,163.8296,163.8296,162.5362,163.8296,"31,987"
2017/02/22,164.2607,164.6919,162.5362,162.5362,"26,144"
2017/02/23,162.1051,163.3985,161.2428,162.5362,"36,095"
2017/02/24,161.6739,164.2607,161.6739,162.9673,"26,177"
2017/03/01,162.5362,162.5362,160.3805,160.3805,"48,263"
2017/03/02,162.1051,162.5362,159.5183,160.3805,"40,879"
2017/03/03,159.0872,159.5183,158.656,158.656,"28,213"
2017/03/06,158.656,159.0872,158.2249,158.2249,"12,633"
2017/03/07,158.656,159.9494,158.656,159.9494,"22,816"
2017/03/08,160.3805,162.1051,159.9494,161.2428,"38,657"
2017/03/09,159.9494,160.3805,158.656,159.0872,"31,119"
2017/03/10,158.656,159.0872,157.7938,158.2249,"24,886"
2017/03/13,159.5183,160.8117,159.5183,160.8117,"11,025"
2017/03/14,162.1051,162.1051,160.3805,160.3805,"24,373"
2017/03/15,159.9494,161.2428,159.9494,160.8117,"14,147"
2017/03/16,162.1051,163.8296,162.1051,163.8296,"32,452"
2017/03/17,163.3985,165.123,162.9673,165.123,"38,698"
2017/03/20,165.123,165.123,163.3985,165.123,"16,531"
2017/03/21,165.5541,168.1409,165.123,168.1409,"33,662"
2017/03/22,165.9852,166.8475,165.123,166.8475,"27,766"
2017/03/23,165.5541,166.8475,165.5541,166.8475,"18,831"
2017/03/24,165.5541,166.4164,165.5541,165.9852,"17,722"
2017/03/27,167.7098,167.7098,165.5541,166.4164,"29,867"
2017/03/28,168.1409,168.1409,165.9852,167.7098,"39,522"
2017/03/29,167.7098,167.7098,164.6919,165.123,"33,839"
2017/03/30,165.9852,166.4164,164.2607,165.123,"30,716"
2017/03/31,164.6919,165.5541,162.9673,162.9673,"33,996"
2017/04/05,163.3985,166.4164,163.3985,166.4164,"45,116"
2017/04/06,166.4164,166.4164,164.6919,165.123,"17,417"
2017/04/07,165.5541,165.5541,162.5362,164.6919,"19,066"
2017/04/10,164.6919,165.123,163.3985,163.8296,"17,388"
2017/04/11,163.8296,164.6919,162.9673,164.6919,"9,788"
2017/04/12,164.2607,165.123,163.8296,164.6919,"17,418"
2017/04/13,163.3985,165.5541,163.3985,165.123,"14,796"
2017/04/14,163.3985,163.3985,162.1051,162.9673,"31,317"
2017/04/17,162.9673,162.9673,161.6739,161.6739,"17,111"
